iter	Passed	Remaining
773	1958	571
774	1960	569
775	1961	566
776	1962	563
777	1967	561
778	1969	558
779	1971	555
780	1972	553
781	1973	550
782	1980	548
783	1982	546
784	1983	543
785	1985	540
786	1988	538
787	1990	535
788	1993	533
789	1995	530
790	1997	527
791	1999	525
792	2002	522
793	2007	520
794	2009	518
795	2010	515
796	2012	512
797	2015	510
798	2019	508
799	2020	505
800	2023	502
801	2024	499
802	2027	497
803	2029	494
804	2031	492
805	2032	489
806	2033	486
807	2035	483
808	2038	481
809	2041	478
810	2043	476
811	2044	473
812	2046	470
813	2047	467
814	2050	465
815	2052	462
816	2053	460
817	2054	457
818	2056	454
819	2057	451
820	2061	449
821	2064	447
822	2066	444
823	2067	441
824	2069	438
825	2075	437
826	2077	434
827	2078	431
828	2079	428
829	2082	426
830	2084	423
831	2087	421
832	2088	418
833	2090	416
834	2092	413
835	2094	410
836	2098	408
837	2101	406
838	2102	403
839	2104	400
840	2105	398
841	2109	395
842	2112	393
843	2114	390
844	2117	388
845	2121	386
846	2123	383
847	2126	381
848	2128	378
849	2130	375
850	2135	373
851	2138	371
852	2139	368
853	2141	366
854	2142	363
855	2143	360
856	2149	358
857	2151	356
858	2152	353
859	2154	350
860	2155	348
861	2159	345
862	2161	343
863	2163	340
864	2164	337
865	2165	335
866	2167	332
867	2173	330
868	2175	327
869	2177	325
870	2178	322
871	2179	319
872	2182	317
873	2185	315
874	2186	312
875	2188	309
876	2189	307
877	2191	304
878	2192	301
879	2194	299
880	2198	296
881	2200	294
882	2202	291
883	2205	289
884	2210	287
885	2212	284
886	2213	282
887	2215	279
888	2218	276
889	2220	274
890	2222	271
891	2224	269
892	2225	266
893	2227	264
894	2228	261
895	2231	259
896	2234	256
897	2236	254
898	2238	251
899	2239	248
900	2242	246
901	2245	243
902	2247	241
903	2249	238
904	2250	236
905	2252	233
906	2253	231
907	2257	228
908	2259	226
909	2260	223
910	2262	220
911	2264	218
912	2269	216
913	2272	213
914	2274	211
915	2275	208
916	2276	206
917	2279	203
918	2283	201
919	2285	198
920	2286	196
921	2288	193
922	2289	191
923	2292	188
924	2295	186
925	2296	183
926	2298	181
927	2299	178
928	2301	175
929	2303	173
930	2306	170
931	2308	168
932	2309	165
933	2312	163
934	2312	160
935	2317	158
936	2319	155
937	2320	153
938	2322	150
939	2324	148
940	2326	145
941	2330	143
942	2331	140
943	2333	138
944	2334	135
945	2335	133
946	2340	130
947	2342	128
948	2344	125
949	2346	123
950	2347	120
951	2350	118
952	2353	116
953	2355	113
954	2356	111
955	2358	108
956	2360	106
957	2363	103
958	2365	101
959	2368	98
960	2372	96
961	2374	93
962	2376	91
963	2377	88
964	2380	86
965	2384	83
966	2386	81
967	2387	78
968	2389	76
969	2390	73
970	2394	71
971	2397	69
972	2399	66
973	2400	64
974	2402	61
975	2405	59
976	2409	56
977	2411	54
978	2412	51
979	2413	49
980	2421	46
981	2423	44
982	2428	41
983	2433	39
984	2435	37
985	2436	34
986	2438	32
987	2441	29
988	2444	27
989	2446	24
990	2448	22
991	2450	19
992	2451	17
993	2453	14
994	2457	12
995	2458	9
996	2460	7
997	2461	4
998	2463	2
999	2465	0
